t_data,delta_pred,omega_pred
0.0,-0.10092083550420211,38.38788184515705
0.05555555555555555,-0.06265573299547741,38.37882469980319
0.1111111111111111,-0.02539697997051471,38.356163663814904
0.16666666666666666,0.010350229650622877,38.324559231417986
0.2222222222222222,0.04409737907592734,38.28436713792993
0.2777777777777778,0.07537880053172516,38.23605172700269
0.3333333333333333,0.10375757096511443,38.180180320598524
0.38888888888888884,0.12883105837600511,38.117416310316166
0.4444444444444444,0.15023604988913267,38.048511055000084
0.5,0.16765339782045802,38.01262226276386
