t_data,del_target_values,delta_pred,omega_target_values,omega_pred
0.0,-1.0,-1.0100023887903988,383.9911,383.8474360255068
0.02040816326530612,-0.8568864375010266,-0.8700771637800573,384.01312551620236,383.78428249839374
0.04081632653061224,-0.7135199292327042,-0.7327296337539213,384.01559501400067,383.65542888926603
0.061224489795918366,-0.5703216366155178,-0.5980637397283832,383.99627615014816,383.5216054915685
0.08163265306122448,-0.4277533332758968,-0.4661783892001077,383.9535272010845,383.3830617045877
0.1020408163265306,-0.28630566403092567,-0.337167343622763,383.8863569037213,383.24005222598913
0.12244897959183673,-0.14648393492369935,-0.2111191146699415,383.7944575798523,383.09283661759395
0.14285714285714285,-0.008786099410683635,-0.08811686943525618,383.6781828175373,382.94167886412686
0.16326530612244897,0.12629993562057112,0.03176165529441943,383.5385457506316,382.78684692567225
0.18367346938775508,0.25830965225360486,0.14844422957177153,383.37712504988167,382.62861228458667
0.2040816326530612,0.3868190003112095,0.26186419752244666,383.1960064799821,382.46724948762767
0.22448979591836732,0.5114514907683676,0.3719605351892251,382.9975795463622,382.30303568406123
0.24489795918367346,0.6318818053413534,0.4786778989126984,382.7844654658136,382.13625016052106
0.26530612244897955,0.7478349631699909,0.5819666641900831,382.5594953663366,381.9671738733947
0.2857142857142857,0.8590929364185631,0.6817829549696219,382.32548774138536,381.79608897951715
0.3061224489795918,0.9655108128205876,0.7780886633540475,382.08523441877685,381.62327836595534
0.32653061224489793,1.0669910851327256,0.8708514597024912,381.8413310199372,381.44902517966284
0.3469387755102041,1.163480254121715,0.9600447931362044,381.5961422638989,381.27361235779347
0.36734693877551017,1.2549688285643619,1.0456478824695699,381.3518019673015,381.09732215945075
0.3877551020408163,1.3414913252475493,1.1276456976035805,381.1102130443908,380.9204356996545
0.4081632653061224,1.4231245460028181,1.2060289314350556,380.873045267779,380.74323248629815
0.42857142857142855,1.4999727816970396,1.2807939623504425,380.641648590319,380.5659899608659
0.44897959183673464,1.5721701479339658,1.3519428073887643,380.41704959967194,380.3889830436724
0.4693877551020408,1.6398646160587025,1.4194830661738023,380.20008128295666,380.21248368437966
0.4897959183673469,1.7032150117763254,1.4834278557307898,379.99139183467753,380.0367604185361
0.5102040816326531,1.7623910151518827,1.5437957363181316,379.791444656724,379.86207793087146
0.5306122448979591,1.8175731606103975,1.6006106284194188,379.60051835837123,379.68869662607256
0.5510204081632653,1.8689528211221513,1.6539017210557843,379.4187079269068,379.51687220774915
0.5714285714285714,1.9167252338163385,1.7037033715928527,379.2460193204962,379.34685526628476
0.5918367346938775,1.961073022258,1.7500549972306705,379.0823330461032,379.17889087625485
0.6122448979591836,2.002172705183872,1.7930009583787612,378.92744190413475,379.01321820407634
0.6326530612244897,2.0401964958084227,1.8325904341317443,378.78110739745387,378.85007012653546
0.6530612244897959,2.0753123018238515,1.8688772900740833,378.6430597313795,378.689672860821
0.673469387755102,2.1076837254000895,1.90191993865505,378.51299781368624,378.5322456066743
0.6938775510204082,2.1374700631847987,1.931781192387319,378.3905892546051,378.37800020124183
0.7142857142857142,2.164826306303374,1.958528110134308,378.2754703668229,378.2271407871982
0.7346938775510203,2.1899031403589397,1.9822318367627545,378.16724616548237,378.0798634946832
0.7551020408163265,2.2128469454323554,2.002967436447908,378.06549036818217,377.936356137574
0.7755102040816326,2.233792634241711,2.0208137199290404,377.96978930514695,377.7967979245882
0.7959183673469387,2.2528520015009166,2.035853066022934,377.87979536880346,377.6613591856893
0.8163265306122448,2.2701309424038967,2.0481712377122787,377.79515522995985,377.53020111424087
0.836734693877551,2.2857304585789437,2.057857193134804,377.7155243468513,377.40347552532546
0.8571428571428571,2.2997466468065175,2.065002891807194,377.6405670589686,377.2813246306236
0.8775510204081632,2.312270699019247,2.069703096425562,377.56995658705887,377.1638808302126
0.8979591836734693,2.3233889023019287,2.0720551705913777,377.5033750331248,377.0512665216221
0.9183673469387754,2.3331826388915284,2.0721588728182962,377.44051338042493,376.9435939264519
0.9387755102040816,2.3417283861771785,2.0701161471812486,377.38107149347405,376.84096493482747
0.9591836734693877,2.349097716700181,2.066030910974518,377.32475811804255,376.74347096793974
0.9795918367346939,2.355355471757422,2.0600088397502145,377.2712975291509,376.6511928588843
1.0,2.3605508170803655,2.05215715011265,377.22046542139094,376.6063672077594
